family,candidate,symbol,spearman_ic_raw,pearson_ic_raw,hac_t_raw,coverage,factor_turnover,orientation,median_spearman_ic,median_hac_t,consistent_symbols,candidate_order,selected
put_call,pcr_level,ES,0.031518207712836185,0.03410626393338545,0.8486268702417774,0.9976744186046511,0.3350068958871742,,,,,,False
put_call,pcr_level,NQ,0.02984234945000927,0.026160235303146685,0.6518869829990237,0.9976744186046511,0.3350068958871742,,,,,,False
put_call,pcr_level,YM,0.028978467696944742,0.03146758286420476,0.7737536525173084,0.9976744186046511,0.3350068958871742,,,,,,False
put_call,pcr_deviation,ES,0.03093329562342517,0.02822097034323852,1.2562395191805542,0.9976744186046511,0.9671809020255103,,,,,,True
put_call,pcr_deviation,NQ,0.04571712464311776,0.036726397025244106,1.5951474540016126,0.9976744186046511,0.9671809020255103,,,,,,True
put_call,pcr_deviation,YM,0.01570404861746866,0.017793419980131772,0.7741145111448509,0.9976744186046511,0.9671809020255103,,,,,,True
put_call,pcr_change,ES,0.007104068329173364,0.008071288740068006,0.3571442676939142,0.9976744186046511,0.9944773092155615,,,,,,False
put_call,pcr_change,NQ,0.017811553081677305,0.01342945910649084,0.5896452824526259,0.9976744186046511,0.9944773092155615,,,,,,False
put_call,pcr_change,YM,0.006263888889547507,0.004779235829264825,0.20980316361386608,0.9976744186046511,0.9944773092155615,,,,,,False
put_call,pcr_level,SUMMARY,,,,0.9976744186046511,0.3350068958871742,1.0,0.02984234945000927,0.7737536525173084,3.0,0.0,False
put_call,pcr_deviation,SUMMARY,,,,0.9976744186046511,0.9671809020255103,1.0,0.03093329562342517,1.2562395191805542,3.0,1.0,True
put_call,pcr_change,SUMMARY,,,,0.9976744186046511,0.9944773092155615,1.0,0.007104068329173364,0.3571442676939142,3.0,2.0,False
liquidity,liq_reserves,ES,0.030881995734376867,0.028527002357342332,0.8230117861416447,0.9976744186046511,0.09179552016938085,,,,,,False
liquidity,liq_reserves,NQ,-0.003530071775850154,0.004293248112504958,0.12333412450815277,0.9976744186046511,0.09179552016938085,,,,,,False
liquidity,liq_reserves,YM,0.03698059149682339,0.033937067570287666,0.9321923962025667,0.9976744186046511,0.09179552016938085,,,,,,False
liquidity,liq_net,ES,0.036010161711687645,0.05715640430774271,1.7652156676198405,0.9976744186046511,0.09516031872298872,,,,,,False
liquidity,liq_net,NQ,0.014601318724137087,0.051069486462611835,1.5968011724937852,0.9976744186046511,0.09516031872298872,,,,,,False
liquidity,liq_net,YM,0.02952844340758845,0.04772891879833023,1.4201606306109464,0.9976744186046511,0.09516031872298872,,,,,,False
liquidity,liq_net_rrp,ES,0.04499132457559533,0.060759352986281934,1.7585057299087907,0.9976744186046511,0.11371146537220515,,,,,,True
liquidity,liq_net_rrp,NQ,0.01666748915746502,0.04416691075533445,1.2601129069892867,0.9976744186046511,0.11371146537220515,,,,,,True
liquidity,liq_net_rrp,YM,0.0515374706808683,0.06691481630608057,1.878135961223365,0.9976744186046511,0.11371146537220515,,,,,,True
liquidity,liq_reserves,SUMMARY,,,,0.9976744186046511,0.09179552016938085,1.0,0.030881995734376867,0.8230117861416447,2.0,0.0,False
liquidity,liq_net,SUMMARY,,,,0.9976744186046511,0.09516031872298872,1.0,0.02952844340758845,1.5968011724937852,3.0,1.0,False
liquidity,liq_net_rrp,SUMMARY,,,,0.9976744186046511,0.11371146537220515,1.0,0.04499132457559533,1.7585057299087907,3.0,2.0,True
positioning,cot_lev,ES,0.01228822540616186,-0.014149115871005053,-0.32615830310115823,0.8223255813953488,0.09012275860820543,,,,,,False
positioning,cot_lev,NQ,-0.03374739921398643,-0.019471425410428313,-0.4851034319652804,0.8223255813953488,0.07363340336242599,,,,,,False
positioning,cot_lev,YM,-0.062201592400334495,-0.032932097365718754,-0.6350467397592964,0.8223255813953488,0.07725446805389953,,,,,,False
positioning,cot_asset,ES,-0.04032102242681312,-0.03742536960109444,-0.7146769221266343,0.8223255813953488,0.06287626006493711,,,,,,False
positioning,cot_asset,NQ,0.018457718866939345,0.024324174954383826,0.5449676240274919,0.8223255813953488,0.0624666748716161,,,,,,False
positioning,cot_asset,YM,0.03817287059148036,0.02753619142939722,0.6283141262248124,0.8223255813953488,0.06919039515739184,,,,,,False
positioning,cot_divergence,ES,-0.0383601692543822,-0.031018374853587164,-0.6402877008907972,0.8223255813953488,0.08493126849953445,,,,,,True
positioning,cot_divergence,NQ,0.0513742055257987,0.037754382584431694,0.921053264378909,0.8223255813953488,0.08395981014393883,,,,,,True
positioning,cot_divergence,YM,0.0839062729940033,0.045709511099315245,0.8857441527641102,0.8223255813953488,0.08648069924608269,,,,,,True
positioning,cot_lev,SUMMARY,,,,0.8223255813953488,0.07725446805389953,-1.0,0.03374739921398643,0.4851034319652804,2.0,0.0,False
positioning,cot_asset,SUMMARY,,,,0.8223255813953488,0.06287626006493711,1.0,0.018457718866939345,0.5449676240274919,2.0,1.0,False
positioning,cot_divergence,SUMMARY,,,,0.8223255813953488,0.08493126849953445,1.0,0.0513742055257987,0.8857441527641102,2.0,2.0,True
